,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,7.32,7.32,2016-12-30,7.49,7.28,7.41,FIT,11227200
1,7.40,7.40,2016-12-29,7.49,7.315,7.41,FIT,11089600
2,7.43,7.43,2016-12-28,8.08,7.35,8.02,FIT,18695500
3,7.83,7.83,2016-12-27,7.97,7.29,7.35,FIT,16031300
4,7.29,7.29,2016-12-23,7.36,7.20,7.25,FIT,7710300
5,7.35,7.35,2016-12-22,7.42,7.31,7.31,FIT,8883100
6,7.36,7.36,2016-12-21,7.49,7.30,7.42,FIT,11687600
7,7.44,7.44,2016-12-20,7.57,7.42,7.50,FIT,7196000
8,7.49,7.49,2016-12-19,7.55,7.42,7.50,FIT,9051900
9,7.48,7.48,2016-12-16,7.69,7.42,7.60,FIT,13615900
10,7.59,7.59,2016-12-15,7.686,7.44,7.50,FIT,8719500
11,7.50,7.50,2016-12-14,7.67,7.48,7.66,FIT,8856600
12,7.65,7.65,2016-12-13,7.875,7.62,7.79,FIT,7847000
13,7.73,7.73,2016-12-12,7.89,7.60,7.80,FIT,9775000
14,7.82,7.82,2016-12-09,7.99,7.70,7.95,FIT,10895300
15,7.92,7.92,2016-12-08,7.99,7.76,7.84,FIT,10878800
16,7.97,7.97,2016-12-07,8.24,7.96,8.21,FIT,8414100
17,7.98,7.98,2016-12-06,8.00,7.81,7.97,FIT,11415400
18,8.03,8.03,2016-12-05,8.30,7.98,8.18,FIT,12711100
19,8.14,8.14,2016-12-02,8.45,8.12,8.40,FIT,8905100
20,8.42,8.42,2016-12-01,8.59,8.35,8.40,FIT,8985500
21,8.36,8.36,2016-11-30,8.43,8.265,8.31,FIT,7484400
22,8.28,8.28,2016-11-29,8.49,8.20,8.45,FIT,8462700
23,8.40,8.40,2016-11-28,8.54,8.365,8.50,FIT,6674400
24,8.51,8.51,2016-11-25,8.73,8.48,8.69,FIT,4275600
25,8.68,8.68,2016-11-23,8.72,8.42,8.65,FIT,8623600
26,8.58,8.58,2016-11-22,8.78,8.371,8.75,FIT,14070500
27,8.69,8.69,2016-11-21,9.05,8.66,8.76,FIT,11145500
28,8.75,8.75,2016-11-18,8.83,8.62,8.75,FIT,8202000
29,8.82,8.82,2016-11-17,9.42,8.73,9.42,FIT,15437100
30,9.46,9.46,2016-11-16,9.75,9.40,9.73,FIT,8099200
31,9.56,9.56,2016-11-15,9.61,9.43,9.59,FIT,5759200
32,9.42,9.42,2016-11-14,9.63,9.33,9.48,FIT,7976400
33,9.22,9.22,2016-11-11,9.31,8.68,8.97,FIT,10523700
34,8.86,8.86,2016-11-10,9.275,8.40,8.55,FIT,25190700
35,8.55,8.55,2016-11-09,8.65,8.325,8.43,FIT,14223400
36,8.70,8.70,2016-11-08,8.78,8.47,8.56,FIT,9206600
37,8.69,8.69,2016-11-07,8.93,8.53,8.90,FIT,11304000
38,8.71,8.71,2016-11-04,9.00,8.39,8.51,FIT,19301100
39,8.51,8.51,2016-11-03,12.81,8.37,12.81,FIT,72925800
40,12.81,12.81,2016-11-02,13.39,12.67,13.05,FIT,17609400
41,13.06,13.06,2016-11-01,13.32,12.92,13.22,FIT,7595400
42,13.26,13.26,2016-10-31,13.52,13.07,13.49,FIT,6833800
43,13.49,13.49,2016-10-28,14.01,13.47,13.73,FIT,7291800
44,13.78,13.78,2016-10-27,14.26,13.74,14.26,FIT,4791000
45,14.10,14.10,2016-10-26,14.19,13.70,13.70,FIT,5969700
46,13.78,13.78,2016-10-25,13.85,13.63,13.84,FIT,4185500
47,13.85,13.85,2016-10-24,14.24,13.84,14.20,FIT,4636000
48,14.20,14.20,2016-10-21,14.26,13.951,14.09,FIT,4714700
49,14.15,14.15,2016-10-20,14.27,13.92,13.99,FIT,5872300
50,14.06,14.06,2016-10-19,14.16,13.46,13.54,FIT,7625400
51,13.54,13.54,2016-10-18,13.58,13.13,13.20,FIT,5368500
52,13.10,13.10,2016-10-17,13.31,12.98,13.28,FIT,4736000
53,13.10,13.10,2016-10-14,13.53,13.035,13.38,FIT,8493100
